合约代码,时间数,时间,最新,成交量,成交额,持仓,增仓,买卖标识,买一价,卖一价,买一量,卖一量,最高价,最低价
IH2606,45961.39513888889,2025-10-31 09:29:00,3046.6,6.0,5483880.0,3226,-5.0,3,3045.0,3049.4,4,3,3046.6,3046.6
IH2606,45961.395833333336,2025-10-31 09:30:00,3046.6,0.0,0.0,3226,0.0,0,3045.0,3048.8,4,1,3046.6,3046.6
IH2606,45961.395833333336,2025-10-31 09:30:00,3046.6,0.0,0.0,3226,0.0,0,3044.8,3047.4,1,1,3046.6,3046.6
IH2606,45961.395844907405,2025-10-31 09:30:01,3046.6,0.0,0.0,3226,0.0,0,3046.0,3047.2,3,2,3046.6,3046.6
IH2606,45961.395844907405,2025-10-31 09:30:01,3047.6,4.0,3656820.0,3222,-4.0,1,3046.4,3048.4,2,1,3047.6,3047.6
IH2606,45961.39585648148,2025-10-31 09:30:02,3047.0,2.0,1828620.0,3221,-1.0,1,3047.0,3049.4,3,3,3047.0,3047.0
IH2606,45961.39585648148,2025-10-31 09:30:02,3047.0,0.0,0.0,3221,0.0,0,3048.0,3049.4,1,3,3047.0,3047.0
IH2606,45961.39586805556,2025-10-31 09:30:03,3048.2,5.0,4573320.0,3216,-5.0,1,3048.2,3050.0,2,1,3048.2,3048.2
IH2606,45961.39586805556,2025-10-31 09:30:03,3048.2,1.0,914460.0,3216,0.0,2,3049.0,3050.0,1,1,3048.2,3048.2
IH2606,45961.39587962963,2025-10-31 09:30:04,3050.0,1.0,915000.0,3215,-1.0,1,3049.2,3051.8,1,1,3050.0,3050.0
IH2606,45961.39587962963,2025-10-31 09:30:04,3050.0,0.0,0.0,3215,0.0,0,3049.6,3051.8,1,1,3050.0,3050.0
IH2606,45961.395891203705,2025-10-31 09:30:05,3048.4,6.0,5488140.0,3210,-5.0,2,3048.2,3051.0,2,1,3048.4,3048.4
IH2606,45961.395902777775,2025-10-31 09:30:06,3048.4,0.0,0.0,3210,0.0,0,3049.8,3050.4,1,1,3048.4,3048.4
IH2606,45961.395902777775,2025-10-31 09:30:06,3048.8,1.0,914640.0,3209,-1.0,2,3048.2,3049.8,2,1,3048.8,3048.8
IH2606,45961.39591435185,2025-10-31 09:30:07,3049.2,1.0,914760.0,3209,0.0,1,3048.2,3049.6,2,1,3049.2,3049.2
IH2606,45961.39591435185,2025-10-31 09:30:07,3049.2,0.0,0.0,3209,0.0,0,3048.4,3049.4,1,1,3049.2,3049.2
IH2606,45961.39592592593,2025-10-31 09:30:08,3048.2,2.0,1828980.0,3208,-1.0,2,3048.2,3049.4,1,1,3048.2,3048.2
IH2606,45961.39592592593,2025-10-31 09:30:08,3048.2,1.0,914460.0,3207,-1.0,2,3047.2,3049.2,1,1,3048.2,3048.2
IH2606,45961.3959375,2025-10-31 09:30:09,3048.2,0.0,0.0,3207,0.0,0,3048.4,3049.2,1,1,3048.2,3048.2
IH2606,45961.395949074074,2025-10-31 09:30:10,3048.2,0.0,0.0,3207,0.0,0,3048.6,3049.6,1,1,3048.2,3048.2
IH2606,45961.395949074074,2025-10-31 09:30:10,3048.2,0.0,0.0,3207,0.0,0,3048.6,3049.2,1,1,3048.2,3048.2
IH2606,45961.39596064815,2025-10-31 09:30:11,3048.2,0.0,0.0,3207,0.0,0,3048.8,3050.2,1,1,3048.2,3048.2
IH2606,45961.39596064815,2025-10-31 09:30:11,3048.2,0.0,0.0,3207,0.0,0,3048.8,3049.8,1,1,3048.2,3048.2
